id,latitude,longitude,name,display_name,zone,total_lines,rail
58,48.845104139567,2.26693605903225,Chardon-Lagache,Chardon-Lagache,1,1,0
59,48.8739310942679,2.2951272516501,Charles de Gaulle-Etoile,Charles de Gaulle-Etoile,1,4,0
60,48.8463629755008,2.28563106588287,Charles Michels,Charles Michels,1,1,0
61,48.8546420474448,2.38503219333483,Charonne,Charonne,1,1,0
62,48.8724541509199,2.35605616813029,Château d'Eau,Château d'Eau,1,1,0
63,48.8443251443686,2.44055234621182,Château de Vincennes,Château de Vincennes,1,1,0
64,48.8784565668312,2.3620537162489,Château Landon,Château Landon,1,1,0
65,48.8870862830504,2.34937007325138,Château Rouge,Château Rouge,1,1,0
66,48.8583000559814,2.34786508757711,Châtelet,Châtelet,1,4,0
68,48.8102833635108,2.30128887097595,Châtillon Montrouge,Châtillon Montrouge,1,1,0
70,48.8729858246652,2.33342622405285,Chaussée d'Antin (La Fayette),Chaussée d'Antin (La Fayette),1,2,0
71,48.8345787984256,2.36693389907092,Chevaleret,Chevaleret,1,1,0
72,48.8556848502863,2.34620292952872,Cité,Cité,1,1,0
74,48.8507957557043,2.34503088836523,Cluny-La Sorbonne,Cluny-La Sorbonne,1,1,0
75,48.8781849817922,2.37017454663636,Colonel Fabien,Colonel Fabien,1,1,0
76,48.8656780964178,2.32119377180187,Concorde,Concorde,1,2,0
78,48.8371369495626,2.29639609015556,Convention,Convention,1,1,0
79,48.8946815419881,2.38230219397424,Corentin-Cariou,Corentin-Cariou,1,1,0
80,48.8268298873941,2.27896686157434,Corentin-Celton,Corentin-Celton,1,1,0
81,48.8296027449712,2.34937026345836,Corvisart,Corvisart,1,1,0
83,48.8792721516316,2.30329854668249,Courcelles,Courcelles,1,1,0
84,48.8693291694966,2.38053636616172,Couronnes,Couronnes,1,1,0
85,48.8902887750447,2.37677864892536,Crimée,Crimée,1,1,0
86,48.857999073258,2.43586689567471,Croix-de-Chavaux (Jacques Duclos),Croix-de-Chavaux (Jacques Duclos),1,1,0
87,48.8819510181782,2.39326067585739,Danube,Danube,1,1,0
88,48.839376463125,2.39578806041565,Daumesnil (Félix Eboué),Daumesnil (Félix Eboué),1,1,0
89,48.8342768128446,2.33220379730479,Denfert-Rochereau,Denfert-Rochereau,1,3,0
91,48.8388761516785,2.38934738757029,Dugommier,Dugommier,1,1,0
92,48.8507426501802,2.29246322682451,Dupleix,Dupleix,1,1,0
93,48.846848768896,2.31693731083409,Duroc,Duroc,1,2,0
94,48.8405677262044,2.32640281522276,Edgar-Quinet,Edgar-Quinet,1,1,0
95,48.8478832165792,2.27029589263431,Eglise d'Auteuil,Eglise d'Auteuil,1,1,0
96,48.893632527974,2.41290026603005,Eglise de Pantin,Eglise de Pantin,1,1,0
97,48.8883580601662,2.2499372128628,Esplanade de la Défense,Esplanade de la Défense,1,1,0
98,48.8637103664696,2.3489831961271,Etienne Marcel,Etienne Marcel,1,1,0
99,48.8790604392127,2.32297463240589,Europe,Europe,1,1,0
100,48.8429069785359,2.2601443978809,Exelmans,Exelmans,1,1,0
101,48.844323383002,2.3175646761806,Falguière,Falguière,1,1,0
105,48.9140567451466,2.40357633451101,Fort d'Aubervilliers,Fort d'Aubervilliers,1,1,0
106,48.8690104279376,2.31025318089603,Franklin-Roosevelt,Franklin-Roosevelt,1,2,0
109,48.9165748359832,2.29432896468706,Gabriel-Péri,Gabriel-Péri,1,1,0
110,48.8387518213886,2.32250918622471,Gaité,Gaité,1,1,0
111,48.8632625265005,2.41597536849996,Gallieni (Parc de Bagnolet),Gallieni (Parc de Bagnolet),1,1,0
112,48.8650342980182,2.39854148691224,Gambetta,Gambetta,1,2,0
113,48.8434142241437,2.36418839286764,Gare d'Austerlitz,Gare d'Austerlitz,1,2,0
114,48.8766958360249,2.3579925105504,Gare de l'Est (Verdun),Gare de l'Est (Verdun),1,3,0
115,48.8455597870834,2.37344920496318,Gare de Lyon,Gare de Lyon,1,2,0
116,48.8797430642254,2.35460081047223,Gare du Nord,Gare du Nord,1,3,0
117,48.9063821642264,2.33191047345893,Garibaldi,Garibaldi,1,1,0
119,48.8720456194264,2.30076918564495,George V,George V,1,1,0
121,48.8308614053467,2.34455143330342,Glacière,Glacière,1,1,0
122,48.870015355247,2.37076879902147,Goncourt (Hôpital Saint-Louis),Goncourt (Hôpital Saint-Louis),1,1,0
123,48.8715118170782,2.34320837754486,Grands Boulevards,Grands Boulevards,1,1,0
124,48.8930090560512,2.32749583949049,Guy-Môquet,Guy-Môquet,1,1,0
125,48.8734618906704,2.32848048447348,Havre-Caumartin,Havre-Caumartin,1,2,0
126,48.8914993837643,2.40312496065608,Hoche,Hoche,1,1,0
127,48.8573559271695,2.35207356685872,Hôtel de Ville,Hôtel de Ville,1,2,0
129,48.8643501996473,2.29404526378309,Iéna,Iéna,1,1,0
130,48.8608507896675,2.31454811262665,Invalides,Invalides,1,1,0
131,48.8707008232696,2.36057863558728,Jacques-Bonsergent,Jacques-Bonsergent,1,1,0
132,48.8524385192227,2.26793392300095,Jasmin,Jasmin,1,1,0
133,48.8827685467488,2.36994579899074,Jaurès,Jaurès,1,3,0
134,48.8459638804841,2.27781512635377,Javel-André-Citroen,Javel-André-Citroen,1,1,0
136,48.875248294625,2.38932943415264,Jourdain,Jourdain,1,1,0
137,48.8924969769303,2.3443284105515,Jules Joffrin,Jules Joffrin,1,1,0
138,48.8459684322046,2.35480739269422,Jussieu,Jussieu,1,2,0
139,48.8713061490878,2.29333102089622,Kléber,Kléber,1,1,0
140,48.8843886983582,2.35927656427673,La Chapelle,La Chapelle,1,1,0
141,48.9205145066857,2.4102257791202,La Courneuve-8-Mai-1945,La Courneuve-8-Mai-1945,1,1,0
144,48.8918267548365,2.23799204321562,La Défense (Grande Arche),La Défense (Grande Arche),1,2,0
145,48.8874368425293,2.32572522201741,La Fourche,La Fourche,1,1,0
